grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.0026875,0.26875,356.01430569567964,1.1718850699852268e-07,1.8084176178897108e-29,1.9381131356791337e-07
0.00271875,0.271875,367.0599060368407,1.4892203950467483e-07,1.4775139525148032e-28,2.53462403401771e-07
0.00275,0.275,379.4924091126189,1.9014347871622244e-07,1.3481593352078578e-27,3.2757966224302266e-07
0.00278125,0.278125,393.3651097938246,2.4383029301393675e-07,1.340270387103324e-26,4.174450276327953e-07
0.0028125,0.28125,408.7139705055588,3.138864108063353e-07,1.4108358790937969e-25,5.229277278324315e-07
0.002828125,0.2828125,416.95764771745985,3.5750394768693635e-07,4.639710706799249e-25,5.831603161007527e-07
0.00284375,0.284375,425.5879631270671,4.075815307555424e-07,1.5331408032208168e-24,6.469259228289175e-07
0.002859375,0.2859375,434.60447953910455,4.651017778581192e-07,5.071512937320506e-24,7.133390595484872e-07
0.002875,0.2875,444.00566305976173,5.312111252192104e-07,1.673452802127609e-23,7.811390974363742e-07
0.002890625,0.2890625,453.7889462695372,6.072541622778859e-07,5.48973721523772e-23,8.487442704430931e-07
0.00290625,0.290625,463.9508002186685,6.948171388117484e-07,1.784816402809545e-22,9.143745292665077e-07
0.002921875,0.2921875,474.4868130159964,7.957838529185195e-07,5.734464045100247e-22,9.763192585457751e-07
0.0029375,0.29375,485.3917728018355,9.124081609660549e-07,1.816032214048033e-21,1.0334319284099708e-06
0.002953125,0.2953125,496.6597529730194,1.0474085266638019e-06,5.6557160806407464e-21,1.0858978748138493e-06
0.00296875,0.296875,508.2841976522219,1.2040909727992011e-06,1.728702340221127e-20,1.136068501221806e-06
0.002984375,0.2984375,520.2580055518343,1.386507208783193e-06,5.177198036520271e-20,1.1888667747559792e-06
0.003,0.3,532.5736105634393,1.5996544014200305e-06,1.5171472837896782e-19,1.2514743483659565e-06
0.003015625,0.3015625,545.223057596183,1.849722001539938e-06,4.345950692569189e-19,1.3324894632956195e-06
0.00303125,0.303125,558.1980723819,2.144389257211321e-06,1.2161554945205751e-18,1.4410741395501006e-06
0.003046875,0.3046875,571.4901241560627,2.4931745040236174e-06,3.323784405309089e-18,1.5866968999522781e-06
0.0030625,0.30625,585.0904803103938,2.9078339079395664e-06,8.873452610263479e-18,1.779650621705923e-06
0.003078125,0.3078125,598.9902522990468,3.4028029257443444e-06,2.3155234542287598e-17,2.0320107309313745e-06
0.00309375,0.309375,613.180432273949,3.995668386225068e-06,5.913032146077911e-17,2.358620119524385e-06
0.003109375,0.31093750000000003,627.6519201379966,4.707653187797067e-06,1.4802466268913008e-16,2.777853130334647e-06
0.003125,0.3125,642.3955409514915,5.564090078114092e-06,3.6412269106545743e-16,3.311969059468176e-06
0.003140625,0.3140625,657.4020529213279,6.5948573205185615e-06,8.827810769952142e-16,3.986776701949776e-06
0.0031484375,0.31484375000000003,665.0012195381248,7.192487742800311e-06,1.3685327738825052e-15,4.39152683453937e-06
0.00315625,0.315625,672.6632325772433,7.848090541267419e-06,2.11686972214132e-15,4.842917038963112e-06
0.0031640625,0.31640625,680.3868956605073,8.566974925945622e-06,3.26884914037335e-15,5.344722220801888e-06
0.003171875,0.3171875,688.1710065002627,9.354796072417661e-06,5.0418501550937045e-15,5.900698400898263e-06
0.0031796875,0.31796875,696.0143562123798,1.0217559196747127e-05,7.771696160855064e-15,6.514600467538324e-06
0.0031875,0.31875000000000003,703.9157285850991,1.1161621796382988e-05,1.1978826323378896e-14,7.190243432407007e-06
0.0031953125,0.31953125000000004,711.8738993199026,1.2193694408823144e-05,1.847290408626816e-14,7.931594796474339e-06
0.003203125,0.3203125,719.8876352627533,1.3320840259358768e-05,2.8516634294322516e-14,8.742877645189405e-06
0.0032109375,0.32109375,727.9556936458183,1.455047419488148e-05,4.4091436676984334e-14,9.628659681943672e-06
0.0032187500000000003,0.321875,736.076821360395,1.5890361310983636e-05,6.83200340295255e-14,1.0593908894972876e-05
0.0032265625000000003,0.32265625000000003,744.2497542819627,1.734861566104374e-05,1.0615696892714229e-13,1.1644011784411465e-05
0.0032343750000000003,0.32343750000000004,752.4732166673805,1.8933699379446937e-05,1.6551692692451771e-13,1.2784767652067438e-05
0.0032421875000000003,0.32421875,760.7459206429068,2.06544224510328e-05,2.5916844950315224e-13,1.4022380927852591e-05
0.0032500000000000003,0.325,769.0665657993327,2.2519943213669765e-05,4.079600856689506e-13,1.5363469190429918e-05
0.0032578125000000003,0.32578125,777.4338389077734,2.4539769493564845e-05,6.463676921544738e-13,1.6815093509539404e-05
0.0032656250000000003,0.32656250000000003,785.8464137660501,2.672376005121348e-05,1.032672355410175e-12,1.8384809014940657e-05
0.0032734375000000003,0.32734375000000004,794.3029511818116,2.9082125772517876e-05,1.6675606746781603e-12,2.008073082324037e-05
0.0032812500000000003,0.328125,802.8020990942263,3.162542979121995e-05,2.7304588492983455e-12,2.191161132986272e-05
0.0032890625000000003,0.32890625,811.3424928318758,3.436458549542765e-05,4.553361748139833e-12,2.3886925446417983e-05
0.0032968750000000003,0.3296875,819.9227555001593,3.731085117385434e-05,7.778953750878008e-12,2.6016959537235708e-05
0.0033046875000000003,0.33046875000000003,828.5414984876683,4.047581991722207e-05,1.3721632322228814e-11,2.8312899287381506e-05
0.0033125000000000003,0.33125000000000004,837.197322077384,4.3871403324868655e-05,2.524899636920199e-11,3.078691215380415e-05
0.0033203125000000003,0.3320312500000001,845.8888161457558,4.7509807588967856e-05,4.911331023843626e-11,3.3452220142536874e-05
0.0033281250000000004,0.3328125,854.6145609303903,5.140350064515517e-05,1.0270554223930132e-10,3.6323157977715535e-05
0.0033359375000000004,0.33359375,863.3731278457617,5.556516928740912e-05,2.3578787169396223e-10,3.9415211255166295e-05
0.0033437500000000004,0.33437500000000003,872.1630803255828,6.00076654374827e-05,6.090594053234813e-10,4.274502948544955e-05
0.0033515625000000004,0.33515625000000004,880.9829746706874,6.47439411185391e-05,1.8136769216855087e-09,4.63304097583195e-05
0.0033593750000000004,0.3359375000000001,889.8313608819765,6.978697208674927e-05,6.2658653756973134e-09,5.0190247704373186e-05
